feat_i,feat_j,name_i,name_j,cv_mean_acc,cv_std_acc,fold_accuracies,rank
15,22,compactness error,worst perimeter,0.9095569620253166,0.009336569337764188,0.912500000000;0.912500000000;0.900000000000;0.924050632911;0.898734177215,110
11,27,texture error,worst concave points,0.9095569620253163,0.01456610884893008,0.912500000000;0.925000000000;0.887500000000;0.924050632911;0.898734177215,111
13,26,area error,worst concavity,0.9095569620253166,0.014566108848930078,0.887500000000;0.925000000000;0.912500000000;0.924050632911;0.898734177215,112
7,9,mean concave points,mean fractal dimension,0.9095569620253166,0.018362230991872387,0.900000000000;0.887500000000;0.937500000000;0.924050632911;0.898734177215,113
19,27,fractal dimension error,worst concave points,0.9095253164556961,0.009581032643122161,0.912500000000;0.925000000000;0.900000000000;0.911392405063;0.898734177215,114
16,22,concavity error,worst perimeter,0.9095253164556961,0.014724000356851806,0.937500000000;0.900000000000;0.900000000000;0.911392405063;0.898734177215,115
0,8,mean radius,mean symmetry,0.9095253164556961,0.03012442152659751,0.887500000000;0.887500000000;0.962500000000;0.924050632911;0.886075949367,116
15,20,compactness error,worst radius,0.9094936708860759,0.012731984485447307,0.912500000000;0.925000000000;0.912500000000;0.911392405063;0.886075949367,117
16,20,concavity error,worst radius,0.9094936708860759,0.012731984485447307,0.912500000000;0.912500000000;0.925000000000;0.911392405063;0.886075949367,118
7,14,mean concave points,smoothness error,0.9094620253164557,0.01886309559910136,0.900000000000;0.925000000000;0.937500000000;0.886075949367;0.898734177215,119
0,5,mean radius,mean compactness,0.9094620253164557,0.034320112659947784,0.887500000000;0.912500000000;0.962500000000;0.924050632911;0.860759493671,120
2,5,mean perimeter,mean compactness,0.9094620253164557,0.04096181310674012,0.862500000000;0.937500000000;0.962500000000;0.924050632911;0.860759493671,121
18,23,symmetry error,worst area,0.9093354430379745,0.03737072466958268,0.950000000000;0.925000000000;0.937500000000;0.886075949367;0.848101265823,122
14,27,smoothness error,worst concave points,0.9070569620253165,0.014914970235486946,0.900000000000;0.887500000000;0.925000000000;0.924050632911;0.898734177215,123
0,4,mean radius,mean smoothness,0.9070569620253165,0.01864018071600866,0.875000000000;0.912500000000;0.925000000000;0.924050632911;0.898734177215,124
5,27,mean compactness,worst concave points,0.9070253164556963,0.012822744198768605,0.925000000000;0.887500000000;0.912500000000;0.898734177215;0.911392405063,125
7,10,mean concave points,radius error,0.9069936708860759,0.015263665695574977,0.887500000000;0.925000000000;0.925000000000;0.898734177215;0.898734177215,126
16,23,concavity error,worst area,0.9069620253164556,0.013346404091106918,0.925000000000;0.912500000000;0.912500000000;0.898734177215;0.886075949367,127
17,22,concave points error,worst perimeter,0.9069620253164556,0.013346404091106918,0.912500000000;0.912500000000;0.925000000000;0.886075949367;0.898734177215,128
3,5,mean area,mean compactness,0.9069620253164556,0.028507547414216232,0.887500000000;0.925000000000;0.937500000000;0.924050632911;0.860759493671,129
17,20,concave points error,worst radius,0.9068987341772153,0.029760567797165377,0.900000000000;0.925000000000;0.950000000000;0.860759493671;0.898734177215,130
17,23,concave points error,worst area,0.9068670886075949,0.028824163451071087,0.925000000000;0.925000000000;0.937500000000;0.860759493671;0.886075949367,131
7,19,mean concave points,fractal dimension error,0.9045886075949368,0.02792889603002913,0.875000000000;0.875000000000;0.937500000000;0.936708860759;0.898734177215,132
10,26,radius error,worst concavity,0.9045569620253164,0.018708768691642407,0.887500000000;0.900000000000;0.912500000000;0.936708860759;0.886075949367,133
6,19,mean concavity,fractal dimension error,0.9045569620253164,0.02179490825760411,0.887500000000;0.887500000000;0.925000000000;0.886075949367;0.936708860759,134
2,4,mean perimeter,mean smoothness,0.9045569620253164,0.023081186001851006,0.862500000000;0.912500000000;0.925000000000;0.924050632911;0.898734177215,135
18,27,symmetry error,worst concave points,0.9045253164556962,0.009977442110357464,0.912500000000;0.912500000000;0.887500000000;0.911392405063;0.898734177215,136
7,28,mean concave points,worst symmetry,0.9045253164556962,0.016942530834132618,0.875000000000;0.912500000000;0.925000000000;0.911392405063;0.898734177215,137
7,13,mean concave points,area error,0.9045253164556961,0.020298998770026423,0.875000000000;0.900000000000;0.937500000000;0.898734177215;0.911392405063,138
2,13,mean perimeter,area error,0.9044620253164556,0.01324524928966586,0.912500000000;0.900000000000;0.925000000000;0.898734177215;0.886075949367,139
2,21,mean perimeter,worst texture,0.9044620253164558,0.01324524928966586,0.925000000000;0.900000000000;0.912500000000;0.886075949367;0.898734177215,140
10,20,radius error,worst radius,0.9044303797468354,0.02375484332335401,0.900000000000;0.925000000000;0.925000000000;0.911392405063;0.860759493671,141
13,20,area error,worst radius,0.9043987341772152,0.02102380747372364,0.912500000000;0.925000000000;0.925000000000;0.886075949367;0.873417721519,142
19,23,fractal dimension error,worst area,0.9043987341772152,0.02874985631447346,0.925000000000;0.925000000000;0.912500000000;0.911392405063;0.848101265823,143
27,29,worst concave points,worst fractal dimension,0.9043987341772152,0.02874985631447346,0.912500000000;0.925000000000;0.925000000000;0.911392405063;0.848101265823,144
12,22,perimeter error,worst perimeter,0.901993670886076,0.005283578269225389,0.900000000000;0.900000000000;0.912500000000;0.898734177215;0.898734177215,145
15,23,compactness error,worst area,0.9019620253164558,0.018733161535929528,0.887500000000;0.925000000000;0.912500000000;0.911392405063;0.873417721519,146
2,3,mean perimeter,mean area,0.9019620253164558,0.021815850685481628,0.900000000000;0.887500000000;0.937500000000;0.911392405063;0.873417721519,147
5,7,mean compactness,mean concave points,0.9019303797468355,0.02586827403105856,0.875000000000;0.937500000000;0.925000000000;0.873417721519;0.898734177215,148
